turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],Turbine Tax [M€]
17,EIB1S,5,63.44694232465356,-37.437593881294966,3746.686402260092,3871.218820378345,3.216878815082913,570.7267154455019,94.1101143294587,126.2392834348922
17,EIB1S,6,63.47465224286918,-37.42220936824114,3744.834277216484,3871.218820378345,3.2647222754902074,570.6578162114806,94.0987531742587,126.2392834348922
17,EIB1S,7,63.45057262988712,-37.454802356423926,3746.5394705343792,3871.218820378345,3.2206743051476696,570.8037832571973,94.12282244417192,126.2392834348922
17,EIB1S,8,63.43656701692809,-37.50983097781808,3747.711752871896,3871.218820378345,3.190392308910586,571.0502278375387,94.1634599804991,126.2392834348922
17,EIB1S,9,63.501638100398246,-37.64545356661172,3744.2185767525934,3871.218820378345,3.280626839206647,571.6576108889992,94.26361454987142,126.2392834348922
17,EIB1S,10,63.4672089975981,-37.379365058092326,3745.09753282527,3871.218820378345,3.2579219466790383,570.4659388253652,94.0671135081,126.2392834348922
17,EIB2,1,63.734140389290864,-44.57863550737502,7527.573344183746,7739.190261710895,2.7343547628504346,1205.4154550941375,198.76726149897263,252.4785668697844
17,EIB2,2,63.74068963253757,-44.51953597210968,7526.14784121546,7739.190261710895,2.752774040837937,1204.8861029207474,198.6799738493671,252.4785668697844
17,EIB2,3,63.7332020705025,-44.430533519346376,7526.224357623199,7739.190261710895,2.7517853533247627,1204.0889115114446,198.54852078673383,252.4785668697844
17,EIB2,4,63.72387889500118,-44.3725371613479,7526.843798528317,7739.190261710895,2.74378140350351,1203.5694404527064,198.4628624858244,252.4785668697844
17,EIB2,5,63.72600204476259,-44.33850473907325,7526.234016624258,7739.190261710895,2.751660546972506,1203.2646134076897,198.4125979594216,252.4785668697844
17,EIB2,6,63.73846569868455,-44.42146597855315,7525.459976607371,7739.190261710895,2.7616621103236136,1204.0076939112612,198.5351283916838,252.4785668697844
17,EIB2,7,63.73035028469791,-44.50424512152005,7527.32110249609,7739.190261710895,2.7376140403604383,1204.7491433836503,198.6573898746802,252.4785668697844
17,EIB2,8,63.71899951686852,-44.50978067165515,7528.831111790424,7739.190261710895,2.71810283514037,1204.7987250847882,198.66556566080777,252.4785668697844
17,EIB2,9,63.73239859427444,-44.31858511341688,7525.2167184918835,7739.190261710895,2.7648053088658515,1203.0861941174703,198.3831774691122,252.4785668697844
17,EIB2,10,63.74028976889346,-44.51011226240561,7526.105597381867,7739.190261710895,2.753319883906334,1204.8016951298766,198.6660554070826,252.4785668697844
20,EIB1N,1,63.483543087350725,-42.02807073263902,3734.154332718761,3843.583613127964,2.847063871212318,584.9611696776535,96.4573079668891,131.39508393205418
20,EIB1N,2,63.51724109504861,-41.995750054950825,3731.844775982276,3843.583613127964,2.907152501224073,584.8179702707367,96.4336950674188,131.39508393205418
20,EIB1N,3,63.57906374127766,-42.119605002434135,3728.515675688725,3843.583613127964,2.99376698990544,585.3667197491484,96.52418124014198,131.39508393205418
20,EIB1N,4,63.53263303493605,-42.0085608428866,3730.926517954383,3843.583613127964,2.9310431751450623,584.8747295148416,96.44305439616129,131.39508393205418
20,EIB1N,5,63.49723626467387,-42.08258463768392,3733.548822508555,3843.583613127964,2.862817664316696,585.2026979941834,96.49713483475298,131.39508393205418
20,EIB1N,6,63.52691046871424,-41.94271815787132,3730.9670732841287,3843.583613127964,2.9299880314607405,584.5830081117527,96.39495092762884,131.39508393205418
20,EIB1N,7,63.55302911051225,-42.09541687037863,3730.0544368893466,3843.583613127964,2.95373244518092,585.2595522510474,96.50650983064644,131.39508393205418
20,EIB1N,8,63.54732785844816,-41.83918456809074,3729.156288414513,3843.583613127964,2.977099921089758,584.1242940712998,96.31931116936404,131.39508393205418
20,EIB1N,9,63.53546440877025,-42.06754989260004,3731.036501242727,3843.583613127964,2.928181697435351,585.1360853259738,96.48615072335372,131.39508393205418
20,EIB1N,10,63.51476477187216,-41.96057090854024,3731.829430645147,3843.583613127964,2.907551746789503,584.6621061842709,96.40799382267208,131.39508393205418
20,EIB1S,1,63.43411012027936,-37.51607731022887,3715.058687434767,3835.476101964208,3.1395688912720314,564.9704136565671,93.16092760872031,131.39508393205418
20,EIB1S,2,63.40714619184917,-37.66609047237881,3717.514015853934,3835.476101964208,3.0755526295644016,565.6350592452766,93.270524497475,131.39508393205418
20,EIB1S,3,63.35703707700066,-37.55644954512434,3720.164614775972,3835.476101964208,3.0064452006149605,565.1492861464543,93.1904228294943,131.39508393205418
20,EIB1S,4,63.3379412022969,-37.740027471275695,3722.2893013231674,3835.476101964208,2.951049560263902,565.9626431682801,93.32454152456,131.39508393205418
20,EIB1S,5,63.3896181556792,-37.69599919035834,3718.7776117587578,3835.476101964208,3.042607673808406,565.7675722673619,93.292375263036,131.39508393205418
20,EIB1S,6,63.40714619184917,-37.66609047237881,3717.514015853934,3835.476101964208,3.0755526295644016,565.6350592452766,93.270524497475,131.39508393205418
20,EIB1S,7,63.3638483445163,-37.788308539500825,3720.8754378013055,3835.476101964208,2.987912350808652,566.1765563913208,93.35981479516768,131.39508393205418
20,EIB1S,8,63.37643969065661,-37.488474437440686,3718.592535168827,3835.476101964208,3.0474330614528755,564.8481168702624,93.14076145173168,131.39508393205418
20,EIB1S,9,63.390621967068014,-37.74325632548296,3718.946941984884,3835.476101964208,3.0381928313840256,565.9769488710242,93.32690046673738,131.39508393205418
20,EIB1S,10,63.46061766604088,-37.900924784380415,3715.2715144388335,3835.476101964208,3.134019984215678,566.6755118783161,93.4420901761086,131.39508393205418
20,EIB2,1,63.677430197594965,-44.056014244654136,7564.412027818577,7766.248106360038,2.598887851344466,1203.9448770208528,198.5247701859469,266.34138634875853
20,EIB2,2,63.69456825489873,-44.39542104507887,7565.581629435379,7766.248106360038,2.5838277914444507,1206.9930586403038,199.02740080221227,266.34138634875853
20,EIB2,3,63.68780051942499,-44.45128484914611,7567.010182955638,7766.248106360038,2.565433407171702,1207.4947663861035,199.1101300175082,266.34138634875853
